,training_loss,validation_loss,training_accuracy,validation_accuracy
0,2.095744417300301,1.4644122123718262,0.21571428571428578,0.42345238095238097
1,1.513866717380191,1.1501505374908447,0.37527777777777777,0.5347619047619048
2,1.3312118107837343,0.9872862895329794,0.456031746031746,0.5905952380952381
3,1.199618956635869,0.8840116461118063,0.521031746031746,0.6435714285714286
4,1.0953760764428548,0.7941791415214539,0.5752380952380953,0.6969047619047619
5,1.0313641561402214,0.7750937342643738,0.6016666666666667,0.7054761904761905
6,0.9990468212063351,0.732497771581014,0.6223412698412699,0.7255952380952381
7,0.969163228831594,0.7038443684577942,0.6318253968253967,0.7301190476190476
8,0.9353557893681148,0.6952157616615295,0.6447222222222222,0.7385714285714285
9,0.9162974038294385,0.6891862948735555,0.6530158730158729,0.733452380952381
10,0.8973587186090531,0.6899250944455465,0.6616269841269841,0.7422619047619049
11,0.8840426081229772,0.6608335574467977,0.6653968253968254,0.7504761904761904
12,0.8656166387455805,0.6608527302742004,0.6738888888888889,0.7445238095238095
13,0.8603084330993985,0.6434926986694336,0.6774206349206348,0.751547619047619
14,0.8383346114839826,0.633049468199412,0.6886904761904763,0.7535714285714286
15,0.8265104239422176,0.6334170699119568,0.690674603174603,0.7564285714285713
16,0.8237970090574686,0.6240809758504232,0.6923412698412698,0.7578571428571429
17,0.8149074606952214,0.6281123757362366,0.70015873015873,0.758095238095238
18,0.8065958474836653,0.6097462177276611,0.7012698412698413,0.7620238095238095
19,0.8018361419912369,0.6139443516731262,0.6990079365079366,0.7613095238095239
20,0.7927726519013211,0.5987284382184347,0.7066666666666667,0.7633333333333333
21,0.7817108624038244,0.5915303826332092,0.7066666666666666,0.7696428571428572
22,0.7652021316545349,0.5857575734456381,0.7154365079365083,0.7741666666666666
23,0.7682672748489986,0.580128014087677,0.7161111111111111,0.7727380952380952
24,0.759627894040138,0.5730683406194051,0.7203968253968255,0.7773809523809523
25,0.7618553988517277,0.5875126918156942,0.7191666666666666,0.7713095238095238
26,0.7508548899065882,0.5675968527793884,0.7206349206349207,0.7790476190476191
27,0.7486639494697253,0.5620725949605306,0.7252380952380952,0.7797619047619048
28,0.737514051534827,0.5698834657669067,0.729563492063492,0.7771428571428571
29,0.7336632281778349,0.560319741566976,0.7292063492063493,0.7827380952380952
30,0.7230530167146334,0.5501369833946228,0.7332142857142857,0.7894047619047618
31,0.7272515971036185,0.5557019710540771,0.7325793650793652,0.7839285714285715
32,0.7212184498470928,0.54327921072642,0.7353571428571429,0.7898809523809525
33,0.7178890040469549,0.538449207941691,0.7331349206349206,0.7927380952380952
34,0.7152024882416875,0.5477878252665201,0.7356746031746031,0.7880952380952381
35,0.7035548944794942,0.5422452886899313,0.7390873015873014,0.7923809523809524
36,0.6942896793286005,0.5411383310953776,0.7409126984126985,0.7892857142857143
37,0.6948576737490911,0.5460487206776937,0.743095238095238,0.7951190476190476
38,0.6901604461054954,0.551673690478007,0.7480555555555556,0.7907142857142858
39,0.6937705592976678,0.5390956600507101,0.7457142857142856,0.7916666666666666
40,0.6872108361077688,0.5387768546740214,0.7483333333333332,0.7930952380952382
41,0.6886408902586453,0.5371035933494568,0.7461111111111111,0.7955952380952381
42,0.6898344113003643,0.5500527818997701,0.748015873015873,0.7852380952380953
43,0.693531528351799,0.5475624004999796,0.7478571428571429,0.79
44,0.6875809252498644,0.5449703534444174,0.7476587301587302,0.7938095238095239
45,0.6871674776313799,0.5480769475301107,0.7499603174603174,0.7901190476190476
46,0.6854006209307247,0.5486713846524557,0.7522619047619048,0.7878571428571428
47,0.6830833950449553,0.5425346295038859,0.7502777777777778,0.7936904761904762
48,0.6804927847688161,0.5444881916046143,0.7515079365079366,0.7897619047619048
49,0.6794794043378228,0.5392967462539673,0.7527777777777777,0.7946428571428572
50,0.6852968810569674,0.5415515899658203,0.7516269841269841,0.7933333333333333
51,0.6797529032069541,0.5352412064870199,0.7548809523809523,0.7965476190476192
52,0.6748671072816094,0.5452021161715189,0.7546428571428572,0.7904761904761904
53,0.6776188651011105,0.5415152907371521,0.7532539682539682,0.7928571428571428
54,0.6760058132192447,0.5402204990386963,0.7534126984126984,0.795
55,0.6801179888702577,0.5357427795728048,0.7541269841269841,0.7963095238095238
56,0.6817740060034253,0.548891007900238,0.753531746031746,0.7936904761904762
