,training_loss,validation_loss,training_accuracy,validation_accuracy
0,1.095230069708499,0.8770589033762614,0.598741566845656,0.6711428571428572
1,0.4241082750657825,0.7053568561871847,0.8497659369406582,0.7385238095238096
2,0.36651635496811363,0.6185711820920309,0.8699564000183577,0.7614285714285715
3,0.3341829348747911,0.6027136246363322,0.8817765845151224,0.7718571428571428
4,0.317615467117917,0.586112916469574,0.8861531047776401,0.7817142857142857
5,0.3019515654300668,0.5528093377749125,0.8909513974941484,0.7925714285714286
6,0.29231142711536,0.551027794679006,0.8953559135343524,0.7931904761904761
7,0.2796762358429559,0.5484824379285177,0.8995548212400752,0.7980952380952381
8,0.27171159123879524,0.5271517634391785,0.9030382302996927,0.8062380952380952
9,0.26385783411497826,0.5079810917377472,0.9059952269493782,0.8115714285714285
10,0.2604050701934166,0.5155923068523407,0.9062710542016615,0.8106666666666668
11,0.2524992474706791,0.5280712048212687,0.9096599201431914,0.8070476190476191
12,0.24781259626630217,0.49095238248507184,0.9111459910964249,0.8169047619047619
13,0.2442950695623843,0.48626182476679486,0.9124085547753452,0.8192380952380952
14,0.2390639320699108,0.4789643883705139,0.9138969204644543,0.8221428571428572
15,0.23563480668942427,0.4790501892566681,0.9152159346459222,0.8254285714285715
16,0.23279138227931626,0.4744323293368022,0.9164321446601497,0.8288095238095238
17,0.2284434148176231,0.4688054919242859,0.9168300518610307,0.8277142857142857
18,0.2286306113429377,0.4649776220321655,0.9180109229427691,0.8299523809523809
19,0.22239830133492478,0.45564307769139606,0.920719629170682,0.8320952380952381
20,0.22202812931979302,0.4638246496518453,0.92003809261554,0.8283809523809524
21,0.2200334819663856,0.459947129090627,0.9214098857221532,0.8305714285714285
22,0.21869032735829022,0.4693065782388051,0.9220120244159897,0.8302857142857144
23,0.21532710157380966,0.44837018847465515,0.9225177842030385,0.8374761904761905
24,0.21380038769013232,0.4351995488007863,0.923268621781633,0.8431428571428571
25,0.2118949435254308,0.44067318240801495,0.92419064665657,0.8391904761904763
26,0.21097332506430197,0.45227016011873883,0.9237977878746156,0.8377619047619048
27,0.20951917393610828,0.4538233280181885,0.924734040111983,0.8371904761904762
28,0.20852729648610172,0.46321067214012146,0.9249272568727339,0.8329047619047619
29,0.20787996847685672,0.4580347537994385,0.9253660103722061,0.8353809523809524
30,0.20803626731979794,0.45973436037699383,0.925330671439717,0.8362380952380951
31,0.20685473908906818,0.46225035190582275,0.9252673367295423,0.8370000000000001
32,0.20653051316571938,0.4619358678658803,0.9259130754050209,0.8350952380952381
33,0.20612283880087215,0.45966721574465436,0.9259979806324291,0.8361428571428572
34,0.2057155363557137,0.4652865131696065,0.9259520859149112,0.8341428571428571
