,training_loss,validation_loss,training_accuracy,validation_accuracy
0,2.292095906204647,2.253752072652181,0.12793650793650793,0.2114285714285714
1,1.9770835846189467,1.5322875181833904,0.2573015873015873,0.3530952380952381
2,1.3864207901651897,1.3003170490264893,0.4293253968253967,0.4338095238095238
3,1.2146497681027368,1.2068493366241455,0.5053571428571428,0.5129761904761905
4,1.1223809863366778,1.04543540875117,0.5597619047619048,0.5813095238095238
5,0.9816047833079384,0.938931941986084,0.6316269841269841,0.6321428571428571
6,0.9032082011302313,0.8224439024925232,0.6592857142857141,0.6847619047619048
7,0.8432721192874607,0.7938808798789978,0.6830555555555557,0.7010714285714285
8,0.7965572861925004,0.7818831404050192,0.7008333333333332,0.7066666666666667
9,0.7580592634658965,0.7164059480031332,0.713015873015873,0.7307142857142858
10,0.7455310632312108,0.7027648488680521,0.7186111111111115,0.7353571428571429
11,0.7145566587883327,0.6722506483395895,0.7300396825396825,0.7439285714285715
12,0.7050991983167708,0.6718063751856486,0.7310714285714286,0.736904761904762
13,0.6892580482221785,0.6464855670928955,0.7392460317460318,0.7564285714285713
14,0.6740288215260657,0.6599908471107483,0.7459126984126984,0.7423809523809523
15,0.6688078010366078,0.6478255987167358,0.7450396825396824,0.7526190476190475
16,0.6571030962088753,0.6376148660977682,0.750436507936508,0.7633333333333333
17,0.641453981281273,0.6308151284853617,0.7557142857142858,0.7622619047619047
18,0.6354003089760977,0.6092363794644674,0.7615476190476187,0.7705952380952382
19,0.6212317640819247,0.5992924571037292,0.7636507936507937,0.7764285714285714
20,0.6172147414513995,0.5997846921284994,0.7676190476190476,0.7761904761904761
21,0.6070333293506077,0.5765842994054159,0.7688095238095239,0.7876190476190477
22,0.6033862676648866,0.5776923696200053,0.770515873015873,0.7825000000000001
23,0.5908582811317747,0.5852586030960083,0.7763095238095238,0.7823809523809523
24,0.5897047176720603,0.589709480603536,0.776904761904762,0.7794047619047619
25,0.5835936751867097,0.5735772649447123,0.7782142857142859,0.7864285714285715
26,0.5779280455576051,0.5579252044359843,0.7802380952380951,0.7960714285714285
27,0.5709742675461466,0.5401865442593893,0.7830555555555555,0.8029761904761905
28,0.5697326237956682,0.5543049573898315,0.7854365079365081,0.8013095238095239
29,0.5587643716070386,0.5548677841822306,0.7868253968253969,0.7966666666666667
30,0.5500504333111974,0.5366812745730082,0.7934523809523809,0.8015476190476191
31,0.5454766538644593,0.5328031182289124,0.7951587301587302,0.7988095238095237
32,0.5426516359051069,0.5302427808443705,0.7948015873015873,0.8017857142857143
33,0.531583788494269,0.5287081996599833,0.8010317460317459,0.8048809523809523
34,0.5390321060069024,0.5178444782892863,0.7966269841269841,0.8101190476190476
35,0.5204419006430913,0.5106207331021627,0.8070238095238094,0.8139285714285714
36,0.5188120079655496,0.5299784541130066,0.8052380952380952,0.8009523809523809
37,0.5263508791251786,0.516268124183019,0.8015873015873017,0.8101190476190476
38,0.5215033383833035,0.5148025155067444,0.8053571428571429,0.8098809523809524
39,0.5114265601076776,0.5124434431393942,0.8080158730158731,0.8146428571428572
40,0.5115094005115451,0.5186983545621237,0.8059920634920635,0.8091666666666667
41,0.5027476798683879,0.5089311897754669,0.811031746031746,0.8136904761904762
42,0.5000715960585883,0.5113015075524648,0.8112698412698413,0.8115476190476191
43,0.5048852588922259,0.5274372498194376,0.8106349206349206,0.8035714285714285
44,0.5013623658626801,0.5168707271416982,0.8118650793650793,0.8088095238095239
45,0.4984305821477422,0.5210739274819692,0.8130952380952382,0.8077380952380953
46,0.5021248715264458,0.5459878842035929,0.8109126984126984,0.7957142857142857
