,training_loss,validation_loss,training_accuracy,validation_accuracy
0,1.7402882599641405,1.1911686261494954,0.3271428571428571,0.4975
1,1.1457940720849569,0.9873921871185303,0.5523809523809525,0.6428571428571429
2,0.8994924133968731,0.7766731381416321,0.6598809523809526,0.6973809523809523
3,0.7752354543596979,0.770000696182251,0.700595238095238,0.6971428571428572
4,0.7343692721592054,0.6798827449480692,0.7164285714285716,0.7374999999999999
5,0.7066628850168651,0.6773638526598612,0.7219047619047619,0.7366666666666667
6,0.6776358077213877,0.630456825097402,0.7353571428571429,0.7592857142857143
7,0.6500225157018691,0.6230398813883463,0.7479365079365078,0.7688095238095238
8,0.6343067494176683,0.6282973090807596,0.7562698412698411,0.7575
9,0.6279761065093296,0.6188489397366842,0.7596031746031747,0.7654761904761905
10,0.6085541727287431,0.5901301304499308,0.7658333333333331,0.7788095238095237
11,0.6121144537178297,0.580628236134847,0.7628174603174602,0.7832142857142858
12,0.588872188377002,0.5892782807350159,0.7747222222222222,0.7816666666666666
13,0.5904106806431498,0.6363026102383932,0.7735714285714286,0.7608333333333333
14,0.5769759759543435,0.5939438343048096,0.7785714285714286,0.7695238095238096
15,0.5728332928958393,0.6189906199773153,0.7801587301587304,0.7678571428571429
16,0.567911665709246,0.6154420574506124,0.7816269841269842,0.7707142857142856
17,0.5644964448043278,0.6039867003758749,0.7820238095238096,0.7727380952380952
18,0.5680088858519281,0.5956676204999288,0.7799206349206352,0.7751190476190476
19,0.5601931409466835,0.592880388100942,0.7856746031746032,0.7782142857142857
20,0.5439975157616632,0.5893144011497498,0.7927777777777779,0.7777380952380953
21,0.5467235289868855,0.568483293056488,0.79,0.7852380952380953
22,0.540921347600127,0.5813626845677694,0.7939285714285714,0.7817857142857143
23,0.5445552367776161,0.5843131343523661,0.7932142857142859,0.7778571428571429
24,0.5417943769504153,0.562676360209783,0.7928968253968254,0.7896428571428572
25,0.5349254185954729,0.5787930190563202,0.7951587301587302,0.780595238095238
26,0.5325775625450272,0.5701428651809692,0.797777777777778,0.7861904761904762
27,0.5253158209342805,0.5754716694355011,0.798015873015873,0.7883333333333334
28,0.5299184737460955,0.5933506687482198,0.7966269841269842,0.7721428571428571
29,0.5283826213507427,0.5852336088816324,0.7963492063492064,0.7745238095238095
30,0.5262503473768159,0.5769346555074056,0.7966666666666669,0.7798809523809522
31,0.5245163385120649,0.5893998543421427,0.7992460317460318,0.7755952380952381
32,0.524257318486297,0.588905910650889,0.7982539682539683,0.7744047619047619
33,0.5191479682449311,0.5808520317077637,0.8001984126984127,0.7776190476190475
34,0.5197094513310327,0.5881434877713522,0.800436507936508,0.7745238095238095
35,0.5194052132585694,0.5817622145016988,0.7991269841269842,0.7782142857142856
36,0.5187040425482251,0.5862348874409994,0.8007539682539684,0.7773809523809524
37,0.5186355857858583,0.572506844997406,0.800357142857143,0.7792857142857142
38,0.5174665338699781,0.5715599358081818,0.8020238095238096,0.7822619047619047
39,0.5133142802450393,0.5793235699335734,0.8038492063492065,0.7778571428571427
40,0.5147710617572542,0.5721311171849569,0.8020634920634921,0.7821428571428571
41,0.5159570054402428,0.5740519960721334,0.8022222222222223,0.7813095238095237
42,0.5100226635261188,0.5841951370239258,0.8031746031746033,0.7780952380952382
43,0.513678189662714,0.5679135719935099,0.8021031746031747,0.7852380952380953
44,0.5134111025503704,0.5742635528246561,0.8021428571428572,0.7811904761904763
45,0.5094601203288351,0.5692107379436493,0.8033730158730159,0.7859523809523811
46,0.5082891940597505,0.5771575967470804,0.8038888888888889,0.7808333333333334
47,0.5147091952108203,0.5730954806009928,0.8016666666666667,0.7785714285714285
48,0.5060148871843778,0.5703354179859161,0.8060714285714287,0.783690476190476
49,0.5063715340007867,0.566419780254364,0.804404761904762,0.7827380952380952
50,0.5114613465136952,0.559929370880127,0.802420634920635,0.7877380952380951
51,0.5082693108254009,0.5625174641609192,0.8027777777777779,0.786547619047619
52,0.5087922956971895,0.5626003742218018,0.8036507936507937,0.7830952380952381
53,0.5062586095716273,0.5708525677522024,0.8044444444444445,0.7841666666666667
54,0.5067347243191705,0.5711852113405863,0.8041666666666668,0.7839285714285714
55,0.5063495828755319,0.5642172495524088,0.8051984126984127,0.7867857142857142
56,0.5057679090708022,0.5776447057723999,0.8055952380952384,0.7796428571428571
