,training_loss,validation_loss,training_accuracy,validation_accuracy
0,2.188480871537375,1.7732745011647542,0.17345238095238094,0.36988095238095237
1,1.6327624032421717,1.258834441502889,0.3456349206349207,0.46321428571428575
2,1.4013014568222892,1.1095329920450847,0.4186904761904762,0.5248809523809524
3,1.2907670672450748,0.9986050327618917,0.4710714285714286,0.6157142857142857
4,1.1817387385027749,0.9185546437899271,0.5207142857142858,0.629047619047619
5,1.100531348396861,0.8366661866505941,0.568690476190476,0.6784523809523809
6,1.0371716079257782,0.7662203510602316,0.5978174603174605,0.7129761904761905
7,1.0013728349927873,0.736410657564799,0.6190873015873014,0.7048809523809524
8,0.9605940840547048,0.7311722040176392,0.6349206349206348,0.7208333333333333
9,0.9346916500538116,0.7044808268547058,0.6433730158730159,0.7297619047619047
10,0.9152680488805922,0.7052144805590311,0.6539682539682539,0.724047619047619
11,0.8994334872279851,0.6713885068893433,0.66,0.7439285714285715
12,0.880461891492208,0.6810475389162699,0.668452380952381,0.7332142857142857
13,0.8658999625652554,0.6638144453366598,0.6760714285714285,0.7435714285714287
14,0.8483726562015595,0.644487182299296,0.6808333333333332,0.7530952380952382
15,0.842563044693735,0.643430252869924,0.6835317460317459,0.7559523809523809
16,0.8365994072149668,0.6360017855962118,0.6848412698412699,0.7521428571428572
17,0.8204899702280288,0.6280202468236288,0.6956746031746031,0.7623809523809525
18,0.8170044202180136,0.6265037854512533,0.6952777777777778,0.7617857142857143
19,0.802873020134275,0.6223722497622172,0.704047619047619,0.7592857142857143
20,0.8003402804098432,0.6204360922177633,0.7018650793650795,0.7605952380952381
21,0.7923593554231855,0.6138021151224772,0.7022619047619046,0.7652380952380952
22,0.7766758411649676,0.6097882390022278,0.7093650793650793,0.7716666666666666
23,0.780697193174135,0.6034629940986633,0.7098412698412698,0.7698809523809524
24,0.7689001635899618,0.5941573778788248,0.7125396825396826,0.7707142857142856
25,0.7685407683962867,0.6051346063613892,0.7117857142857141,0.7696428571428572
26,0.7619441972365456,0.605506956577301,0.7201190476190478,0.7644047619047619
27,0.7623616551596021,0.5766129692395529,0.71765873015873,0.7807142857142857
28,0.7363759482663778,0.5816449721654257,0.7253571428571428,0.7728571428571428
29,0.7401970121122542,0.5783199866612753,0.7268650793650796,0.7761904761904761
30,0.7387007421680861,0.5635234117507935,0.725079365079365,0.7823809523809523
31,0.7393469296040989,0.5708873669306437,0.7302777777777778,0.7771428571428571
32,0.7317191667499996,0.5593500336011251,0.7285714285714286,0.7830952380952381
33,0.7312721834769323,0.5569554766019186,0.7282936507936508,0.7885714285714286
34,0.7160210130470138,0.5545934240023295,0.7332539682539684,0.7872619047619048
35,0.7045833874079915,0.5543140769004822,0.7354365079365078,0.787142857142857
36,0.7129694802893533,0.5515476862589518,0.7326984126984128,0.7867857142857142
37,0.700421800097776,0.5547023216883341,0.7365476190476189,0.7872619047619048
38,0.6982484677481272,0.5623575250307719,0.7438888888888887,0.7838095238095238
39,0.7036085293170005,0.5615602533022562,0.7400793650793651,0.7780952380952381
40,0.6998801743463864,0.5632635354995728,0.7407142857142857,0.7821428571428571
41,0.700656377252132,0.5660168329874674,0.7401190476190477,0.7788095238095237
42,0.6959797458516226,0.5631089409192404,0.7411111111111112,0.7794047619047619
43,0.6967212748196391,0.5659499565760294,0.7428174603174602,0.7792857142857142
44,0.697545454379112,0.5612067182858785,0.7427380952380953,0.781547619047619
45,0.6967304332388772,0.5652821262677511,0.7410714285714285,0.7796428571428571
46,0.6931907611470374,0.5635004639625549,0.7420238095238095,0.7798809523809523
47,0.6951529389572522,0.5649681886037191,0.7415079365079364,0.7803571428571429
48,0.6922769136135539,0.5564807256062826,0.7445238095238094,0.7838095238095238
49,0.6921799252667125,0.5666603644688925,0.7456349206349207,0.7791666666666667
