,training_loss,validation_loss,training_accuracy,validation_accuracy
0,1.3485286727784171,0.8212182720502218,0.5139682539682539,0.6814285714285715
1,0.8901031930295248,0.7227041522661845,0.6733730158730159,0.7244047619047619
2,0.8007851425144409,0.6818226973215739,0.6984523809523809,0.7359523809523809
3,0.7490149271630105,0.6477626363436381,0.7158730158730159,0.7441666666666666
4,0.7240881004503795,0.6125609676043192,0.721388888888889,0.7616666666666667
5,0.6944421778122584,0.6153547167778015,0.738253968253968,0.7640476190476191
6,0.681736847710988,0.5975778301556905,0.7392063492063493,0.7673809523809524
7,0.6649989865365482,0.5648895303408304,0.7492460317460315,0.7807142857142857
8,0.6445659338718368,0.5730812748273214,0.7557539682539683,0.7804761904761905
9,0.6284158920484876,0.5663689176241556,0.7616666666666667,0.7765476190476189
10,0.6154992891445993,0.5445542931556702,0.7661507936507936,0.7929761904761904
11,0.6034656534828836,0.5220812857151031,0.7732539682539682,0.8046428571428571
12,0.5981704941581166,0.533272405465444,0.7754761904761907,0.7992857142857143
13,0.5978188478047884,0.5369218389193217,0.7726984126984128,0.7977380952380951
14,0.580538360135896,0.5122557381788889,0.7813095238095237,0.8057142857142857
15,0.5727344287766353,0.5198243459065756,0.7841269841269841,0.802142857142857
16,0.581718330700246,0.5247219105561575,0.7824603174603175,0.8032142857142857
17,0.5673579965082425,0.5121798614660898,0.7887301587301586,0.8042857142857143
18,0.560242978353349,0.5046407481034597,0.790952380952381,0.8088095238095238
19,0.5562642426008272,0.5138996243476868,0.7915079365079366,0.8059523809523809
20,0.5514444527881487,0.4959704081217448,0.7952777777777776,0.8125
21,0.5465018044388482,0.4918239216009776,0.7926984126984126,0.8190476190476191
22,0.5349514680722404,0.5009983579317728,0.8001190476190477,0.8141666666666666
23,0.5350446838235099,0.4957605799039205,0.7970634920634919,0.811904761904762
24,0.5327871606226952,0.4814899762471517,0.8007142857142858,0.8232142857142857
25,0.5277062997458474,0.5065743525822958,0.8034523809523809,0.810595238095238
26,0.5243404476888598,0.4992716312408447,0.8034920634920635,0.8141666666666666
27,0.5224904209848437,0.49367483456929523,0.8033730158730159,0.8164285714285714
28,0.5148753962583014,0.49301737546920776,0.8092460317460318,0.8189285714285713
29,0.5140471030322332,0.49608681599299115,0.8093650793650795,0.8151190476190476
30,0.5069303889832801,0.4867759843667348,0.81,0.8210714285714286
31,0.5037698038513699,0.4874267677466075,0.8126190476190477,0.8198809523809524
32,0.49938767580758975,0.48518304030100506,0.8132936507936508,0.8220238095238095
33,0.5079709348224458,0.48446279764175415,0.8103571428571431,0.8227380952380953
34,0.5039114378510962,0.4870785673459371,0.8122222222222223,0.8185714285714285
35,0.49974526736944447,0.4847706655661265,0.8105158730158731,0.8241666666666667
36,0.4991662088367675,0.49933061003685,0.8143253968253968,0.8151190476190475
37,0.49951207625960564,0.4946732819080353,0.8142460317460318,0.82
38,0.4948447475594188,0.4933150013287862,0.8138492063492064,0.82
39,0.4959004621893641,0.49496851364771527,0.8142857142857142,0.8176190476190476
40,0.49380311499985446,0.4988594055175781,0.8139285714285717,0.8128571428571428
41,0.4951520025257081,0.49534066518147785,0.8127777777777778,0.8172619047619047
42,0.49555952243861706,0.4961406687895457,0.815,0.8166666666666668
43,0.4924973022370112,0.49674562613169354,0.8161507936507938,0.8164285714285714
44,0.4917876908466931,0.4905640780925751,0.8157142857142858,0.8183333333333334
45,0.49504586817726254,0.490557740132014,0.8144444444444444,0.8195238095238094
46,0.48953282643878276,0.49322781960169476,0.817777777777778,0.8167857142857141
47,0.4879059959498664,0.49026036262512207,0.8168253968253968,0.8197619047619048
48,0.4913456702516193,0.4866836369037628,0.8149603174603174,0.8210714285714286
49,0.49004091251464127,0.4889301359653473,0.8162301587301587,0.8198809523809523
50,0.4915953714932715,0.4883020917574565,0.8157936507936507,0.822857142857143
51,0.48951717217763274,0.4849126835664113,0.8171428571428572,0.8249999999999998
52,0.48527540426169136,0.48939337333043414,0.8178174603174604,0.8219047619047618
53,0.48507688159034373,0.4862981637318929,0.8184920634920636,0.8201190476190477
54,0.4851812003623872,0.49047812819480896,0.818888888888889,0.8190476190476191
55,0.4865571968848745,0.488468199968338,0.8188095238095238,0.8211904761904761
56,0.48197561053056576,0.48315921425819397,0.8197222222222224,0.8234523809523809
57,0.48410322605854,0.49038832386334735,0.8189285714285716,0.8209523809523809
