,training_loss,validation_loss,training_accuracy,validation_accuracy
0,1.418701337206932,1.0425072113672893,0.48507936507936505,0.615
1,0.920247648206968,0.8098128040631613,0.6557936507936507,0.7075
2,0.8065482534113384,0.7483422557512919,0.7021031746031748,0.713452380952381
3,0.7355649830803038,0.6892671783765157,0.723968253968254,0.7448809523809524
4,0.7166815096187213,0.658162792523702,0.731031746031746,0.751547619047619
5,0.6769205129572322,0.6587498982747396,0.7482142857142859,0.7482142857142858
6,0.6587895023680868,0.6137573917706808,0.7536111111111111,0.7617857142857143
7,0.645270045787569,0.6149247686068217,0.7571428571428571,0.7610714285714287
8,0.6244382061182508,0.5922330617904663,0.7652380952380953,0.7785714285714285
9,0.6125052359605592,0.5932308236757914,0.7711904761904762,0.7855952380952381
10,0.6091534319141556,0.5791060527165731,0.7718253968253969,0.7822619047619047
11,0.5944230898268641,0.5688734849294027,0.7790079365079366,0.794047619047619
12,0.5852065907111245,0.5538165966669718,0.7805158730158731,0.8001190476190477
13,0.5721586875262715,0.5545363624890646,0.7857936507936506,0.7930952380952382
14,0.5646831795336708,0.5456559062004089,0.7892857142857145,0.7978571428571429
15,0.5615400645941023,0.5439829230308533,0.7892857142857143,0.7965476190476192
16,0.5504718487934461,0.5479301412900289,0.7938095238095236,0.8005952380952381
17,0.5417723798799138,0.5532628099123637,0.7982142857142858,0.796547619047619
18,0.538503377683579,0.5230292081832886,0.7992857142857144,0.8120238095238096
19,0.5307245062930241,0.5243292351563772,0.8019444444444446,0.8091666666666667
20,0.5251753913268209,0.5212993820508321,0.8029761904761905,0.8045238095238094
21,0.5133205390875301,0.5152284502983093,0.8074603174603173,0.8114285714285714
22,0.5161293281449212,0.513749380906423,0.8098809523809525,0.815952380952381
23,0.5118226595814267,0.5237390995025635,0.8047222222222222,0.8045238095238095
24,0.5090193776857285,0.5052898724873861,0.8079365079365081,0.8167857142857143
25,0.5045815706253053,0.4963873326778412,0.8097222222222222,0.8173809523809524
26,0.5024441285502342,0.49953431884447735,0.8131349206349205,0.8145238095238095
27,0.4962432068728267,0.48671281337738037,0.8145634920634922,0.8247619047619047
28,0.49620972325404483,0.48955902457237244,0.814206349206349,0.8198809523809523
29,0.4841259076954827,0.49442677696545917,0.8167460317460318,0.8146428571428572
30,0.4829901230950204,0.4785311718781789,0.8195238095238095,0.8285714285714286
31,0.48611621978500524,0.4936642547448476,0.8184920634920635,0.8170238095238096
32,0.47894678903477533,0.48383835951487225,0.8172222222222224,0.8219047619047619
33,0.47134213232331806,0.4820561508337657,0.8244444444444444,0.8229761904761905
34,0.47763411996383515,0.4802578290303548,0.8219841269841269,0.8228571428571428
35,0.4641792722755955,0.46878868341445923,0.8284920634920635,0.8272619047619049
36,0.46273455011939246,0.4908011058966319,0.8261904761904763,0.8107142857142856
37,0.4712210671296195,0.48618440826733905,0.8234523809523809,0.8170238095238096
38,0.4662006367293616,0.4703617990016937,0.8261904761904763,0.8225000000000001
39,0.45997144057164113,0.49626220266024273,0.8276587301587303,0.8111904761904762
40,0.45704617635125205,0.49944475293159485,0.8288095238095239,0.8114285714285714
41,0.452660553807777,0.49178265531857807,0.8301587301587302,0.8142857142857144
42,0.45013012033369804,0.4921940167744954,0.8303968253968255,0.8133333333333334
43,0.45436642792016735,0.4939449032147725,0.8313888888888888,0.8134523809523809
44,0.4536812103220394,0.4919494887193044,0.8298412698412698,0.8132142857142858
45,0.45186511604558843,0.4964462121327718,0.8301190476190476,0.8104761904761905
46,0.45163268087402214,0.5128089487552643,0.8311904761904763,0.8038095238095236
